cell,dataset,seed,policy,score,lambda_ref,stratum,stratum_rule,n_k,alpha,gamma,min_threshold_risk,argmin_lambda,n_argmin_thresholds,cost_at_argmin,full_feature_risk,threshold_curve_monotone,n_local_minima,gap_min_minus_alpha,family_p_value,threshold_verdict,min_depth_risk,argmin_depth,risk_at_T,cost_at_argmin_depth,depth_monotonicity_violations,depth_p_value,depth_verdict,is_primary
tabular-MiniBooNE/greedy_entropy/ts0[margin],tabular-MiniBooNE,0,greedy_entropy,margin,0.7,4,deepest precommitted nonempty,10455,0.15,0.05,0.19923481587757055,1.0,1,341.06321559511804,0.19923481587757055,False,8,0.04923481587757056,4.9481989077821194e-42,family-wide failure certified,0.19923481587757055,49,0.19923481587757055,335.46072580444815,4,4.9481989077821194e-42,family-wide failure certified,False
tabular-MiniBooNE/greedy_entropy/ts0[margin],tabular-MiniBooNE,0,greedy_entropy,margin,0.9,4,deepest precommitted nonempty,12279,0.15,0.05,0.2382115807476179,0.9090909090909092,10,341.06321559511804,0.2382115807476179,True,3,0.0882115807476179,6.9784677229539e-145,family-wide failure certified,0.2382115807476179,50,0.2382115807476179,341.06321559511804,5,6.9784677229539e-145,family-wide failure certified,False
tabular-MiniBooNE/random/ts0,tabular-MiniBooNE,0,random,softmax,0.5,1,deepest precommitted nonempty,46823,0.15,0.05,0.08339918416162997,1.0,1,339.95424267180135,0.08339918416162997,True,2,-0.06660081583837002,1.0,feasible,0.08339918416162997,50,0.08339918416162997,341.0632155951181,0,1.0,feasible,False
tabular-MiniBooNE/random/ts0,tabular-MiniBooNE,0,random,softmax,0.7,1,deepest precommitted nonempty,46823,0.15,0.05,0.08339918416162997,1.0,1,339.95424267180135,0.08339918416162997,True,2,-0.06660081583837002,1.0,feasible,0.08339918416162997,50,0.08339918416162997,341.0632155951181,0,1.0,feasible,False
tabular-MiniBooNE/random/ts0,tabular-MiniBooNE,0,random,softmax,0.9,4,deepest precommitted nonempty,9425,0.15,0.05,0.22514588859416446,0.9494949494949496,6,336.8513092164643,0.22514588859416446,True,4,0.07514588859416446,5.106516850259887e-83,family-wide failure certified,0.22514588859416446,50,0.22514588859416446,341.0632155951181,0,5.106516850259887e-83,family-wide failure certified,False
tabular-MiniBooNE/greedy_entropy/ts1,tabular-MiniBooNE,1,greedy_entropy,softmax,0.5,1,deepest precommitted nonempty,46823,0.15,0.05,0.08474467676142067,0.98989898989899,1,209.03674598582856,0.08476603378681417,False,2,-0.06525532323857933,1.0,feasible,0.08476603378681417,50,0.08476603378681417,342.2820952322199,8,1.0,feasible,False
tabular-MiniBooNE/greedy_entropy/ts1,tabular-MiniBooNE,1,greedy_entropy,softmax,0.7,1,deepest precommitted nonempty,46823,0.15,0.05,0.08474467676142067,0.98989898989899,1,209.03674598582856,0.08476603378681417,False,2,-0.06525532323857933,1.0,feasible,0.08476603378681417,50,0.08476603378681417,342.2820952322199,8,1.0,feasible,False
tabular-MiniBooNE/greedy_entropy/ts1,tabular-MiniBooNE,1,greedy_entropy,softmax,0.9,4,deepest precommitted nonempty,9387,0.15,0.05,0.2226483434537126,0.98989898989899,2,342.10967813006283,0.2226483434537126,True,4,0.0726483434537126,1.1223982692930185e-77,family-wide failure certified,0.2226483434537126,50,0.2226483434537126,342.2820952322199,7,1.1223982692930185e-77,family-wide failure certified,False
tabular-MiniBooNE/random/ts1,tabular-MiniBooNE,1,random,softmax,0.5,1,deepest precommitted nonempty,46823,0.15,0.05,0.08476603378681417,1.0,1,341.57739257681015,0.08476603378681417,True,2,-0.06523396621318582,1.0,feasible,0.08476603378681417,50,0.08476603378681417,342.2820952322199,0,1.0,feasible,False
tabular-MiniBooNE/random/ts1,tabular-MiniBooNE,1,random,softmax,0.7,1,deepest precommitted nonempty,46823,0.15,0.05,0.08476603378681417,1.0,1,341.57739257681015,0.08476603378681417,True,2,-0.06523396621318582,1.0,feasible,0.08476603378681417,50,0.08476603378681417,342.2820952322199,0,1.0,feasible,False
tabular-MiniBooNE/random/ts1,tabular-MiniBooNE,1,random,softmax,0.9,4,deepest precommitted nonempty,9161,0.15,0.05,0.2474620674598843,0.9090909090909092,10,341.1164428171297,0.2474620674598843,True,3,0.09746206745988431,1.149609957686184e-130,family-wide failure certified,0.2474620674598843,50,0.2474620674598843,342.2820952322199,2,1.149609957686184e-130,family-wide failure certified,False
tabular-MiniBooNE/greedy_entropy/ts2,tabular-MiniBooNE,2,greedy_entropy,softmax,0.5,1,deepest precommitted nonempty,46823,0.15,0.05,0.0890160818401213,1.0,1,340.48670200971713,0.0890160818401213,True,2,-0.06098391815987869,1.0,feasible,0.0890160818401213,50,0.0890160818401213,341.7321950600408,5,1.0,feasible,False
