cell,lambda_ref,resplit,certified,lambda_idx,any_stratum_pool_fail
mnist/eps_greedy_eps0.5/ts0,0.5,70,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,71,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,72,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,73,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,74,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,75,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,76,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,77,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,78,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,79,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,80,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,81,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,82,1,81,0
mnist/eps_greedy_eps0.5/ts0,0.5,83,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,84,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,85,1,86,0
mnist/eps_greedy_eps0.5/ts0,0.5,86,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,87,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,88,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,89,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,90,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,91,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,92,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,93,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,94,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,95,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,96,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,97,1,87,0
mnist/eps_greedy_eps0.5/ts0,0.5,98,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,99,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.7,0,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,1,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,2,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,3,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,4,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,5,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,6,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,7,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,8,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,9,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,10,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,11,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,12,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,13,0,,0
mnist/eps_greedy_eps0.5/ts0,0.7,14,0,,0
