dataset,policy,lambda_ref,stratum,eval_n,marg_risk_mean,marg_risk_sd,mond_cert_rate,mond_abstain_rate,jointmond_cert_rate,jointmond_abstain_rate,R_full,R_full_lcb95,R_full_ucb95,verdict
mnist,random,0.7,1,5160,0.11929998000000001,0.006953472817204365,1.0,0.0,1.0,0.0,0.068992,0.063274,0.075075,feasible
mnist,random,0.7,2,5416,0.1184656,0.005687763695865011,1.0,0.0,1.0,0.0,0.07921,0.07325,0.085508,feasible
mnist,random,0.7,3,4527,0.12827792,0.0058245678323460195,1.0,0.0,1.0,0.0,0.105589,0.098155,0.113401,feasible
mnist,random,0.7,4,4653,0.22726174,0.006395824085479523,0.0,1.0,0.0,1.0,0.223082,0.213066,0.233355,infeasible
mnist,random,0.9,0,5807,0.05996836999999999,0.0034566363264161874,1.0,0.0,1.0,0.0,0.019631,0.016731,0.022898,feasible
mnist,random,0.9,1,4660,0.06169564000000001,0.003993193592902803,1.0,0.0,1.0,0.0,0.032618,0.028449,0.037229,feasible
mnist,random,0.9,2,4719,0.07349917,0.005246113197511087,1.0,0.0,1.0,0.0,0.040687,0.036062,0.045739,feasible
mnist,random,0.9,3,2713,0.08744727000000001,0.008130165659880492,1.0,0.0,1.0,0.0,0.03944,0.033481,0.046151,feasible
mnist,random,0.9,4,7301,0.32106603,0.009688043287945196,0.0,1.0,0.0,1.0,0.274894,0.266298,0.283622,infeasible
mnist[margin],greedy_entropy,0.5,0,3540,0.14541141,0.006662950402179204,1.0,0.0,1.0,0.0,0.067232,0.060434,0.074565,feasible
mnist[margin],greedy_entropy,0.5,1,5307,0.16031309,0.007410811233724686,1.0,0.0,1.0,0.0,0.070473,0.064776,0.076523,feasible
mnist[margin],greedy_entropy,0.5,2,6086,0.13238586,0.006331714954133675,1.0,0.0,1.0,0.0,0.06671,0.061522,0.072209,feasible
mnist[margin],greedy_entropy,0.5,3,4882,0.11758321999999997,0.006881397475193539,1.0,0.0,1.0,0.0,0.080295,0.073982,0.086982,feasible
mnist[margin],greedy_entropy,0.5,4,5385,0.15617618,0.006379226063371636,0.45,0.55,0.19,0.81,0.137976,0.130299,0.145944,feasible
mnist[margin],greedy_entropy,0.7,0,4621,0.13816315999999998,0.0048993434125809135,1.0,0.0,1.0,0.0,0.060809,0.055125,0.066909,feasible
mnist[margin],greedy_entropy,0.7,1,5305,0.14683845,0.006873823210375722,1.0,0.0,1.0,0.0,0.055231,0.05016,0.060668,feasible
mnist[margin],greedy_entropy,0.7,2,4504,0.13293641999999997,0.007718380410656112,1.0,0.0,1.0,0.0,0.063499,0.057622,0.0698,feasible
mnist[margin],greedy_entropy,0.7,3,5570,0.11927050000000002,0.006936922201524247,1.0,0.0,1.0,0.0,0.073968,0.068276,0.079993,feasible
mnist[margin],greedy_entropy,0.7,4,5200,0.17432869,0.006242749696560002,0.0,1.0,0.0,1.0,0.169423,0.160909,0.178213,infeasible
mnist[margin],greedy_entropy,0.9,0,4777,0.07011563000000001,0.0033298311057920037,1.0,0.0,1.0,0.0,0.039983,0.035426,0.044964,feasible
mnist[margin],greedy_entropy,0.9,1,5326,0.08210557999999998,0.00377245874511571,1.0,0.0,1.0,0.0,0.03605,0.031944,0.040538,feasible
mnist[margin],greedy_entropy,0.9,2,5374,0.06325641,0.004897616491917268,1.0,0.0,1.0,0.0,0.015073,0.012443,0.018104,feasible
mnist[margin],greedy_entropy,0.9,3,1423,0.08713216000000001,0.009963994909392516,1.0,0.0,1.0,0.0,0.014055,0.009333,0.020358,feasible
mnist[margin],greedy_entropy,0.9,4,8300,0.28332729,0.00995689550542236,0.0,1.0,0.0,1.0,0.201084,0.193866,0.208458,infeasible
tabular-MiniBooNE,eps_greedy_eps0.25,0.5,1,46823,0.14300251,0.002961619592368337,1.0,0.0,1.0,0.0,0.083399,0.081306,0.085531,feasible
tabular-MiniBooNE,eps_greedy_eps0.25,0.7,1,46823,0.14300251,0.002961619592368337,1.0,0.0,1.0,0.0,0.083399,0.081306,0.085531,feasible
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,0,8226,0.037866800000000006,0.002014853781295308,1.0,0.0,1.0,0.0,0.023219,0.020553,0.02614,feasible
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,1,10292,0.04809234000000001,0.00238436708675489,1.0,0.0,1.0,0.0,0.032938,0.030094,0.03598,feasible
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,2,9414,0.11010277,0.004863289826557739,1.0,0.0,1.0,0.0,0.056193,0.052338,0.060253,feasible
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,3,9466,0.14038251,0.004268082781519122,1.0,0.0,1.0,0.0,0.069301,0.065053,0.073746,feasible
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,4,9425,0.37390465,0.0069575218251544165,0.0,1.0,0.0,1.0,0.232361,0.225214,0.23963,infeasible
tabular-MiniBooNE,eps_greedy_eps0.5,0.5,1,46823,0.14184018,0.0019296989370365515,1.0,0.0,1.0,0.0,0.083399,0.081306,0.085531,feasible
