cell,R_pool_s0,R_pool_s1,R_pool_s2,R_pool_s3,R_pool_s4,agg_pool_risk,lambda_idx,lambda_ref,pool_cost,resplit
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,31
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,32
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,33
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,34
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,35
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,36
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,37
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,38
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,39
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,40
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,41
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,42
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,43
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,44
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,45
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,46
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,47
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,48
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,49
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,50
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,51
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,52
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,53
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,54
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,55
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,56
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,57
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,58
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,59
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,60
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,61
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,62
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,63
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,64
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,65
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,66
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,67
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,68
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,69
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,70
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,71
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,72
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,73
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,74
