dataset,policy,scheme,method,violation_frac,wilson_lo,wilson_hi,abstain_rate,mean_risk,mean_cost,cost_ratio_full
tabular-adult,greedy_entropy,random,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.14716216,73.0,1.0
tabular-adult,greedy_entropy,random,plugin,0.01,0.0017673865655472645,0.0544875247609346,0.0,0.19251841,15.72410074,0.21539864027397262
tabular-adult,greedy_entropy,random,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.15389925000000002,39.427968039999996,0.5401091512328766
tabular-adult,greedy_entropy,random,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.14996806999999998,49.41650008,0.676938357260274
tabular-adult,greedy_entropy,random,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.14738944,65.15962527999999,0.8925976065753423
tabular-adult,greedy_entropy,random,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.21318791000000004,31.88193116,0.4367387830136986
tabular-adult,greedy_entropy,random,budget_10,0.0,0.0,0.03699480747600191,0.0,0.16711913999999997,52.332690400000004,0.7168861698630138
tabular-adult,greedy_entropy,random,budget_20,0.0,0.0,0.03699480747600191,0.0,0.14716216,73.0,1.0
tabular-adult,greedy_entropy,random,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.19239186999999996,15.749310809999999,0.21574398369863013
tabular-adult,greedy_entropy,random,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.14716216,73.0,1.0
tabular-adult,random,uniform,cafa_marginal,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,3.8871425299999993,0.2776530378571428
tabular-adult,random,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.15097054000000001,14.0,1.0
tabular-adult,random,uniform,plugin,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,3.8871425299999993,0.2776530378571428
tabular-adult,random,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.1570086,7.636821890000001,0.5454872778571429
tabular-adult,random,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.15352212999999998,9.27457002,0.6624692871428571
tabular-adult,random,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.15140301,11.774308349999998,0.8410220249999999
tabular-adult,random,uniform,budget_5,0.03,0.010254338223414816,0.08452078080402699,0.0,0.19432674000000003,5.0,0.35714285714285715
tabular-adult,random,uniform,budget_10,0.0,0.0,0.03699480747600191,0.0,0.16354913000000004,10.0,0.7142857142857143
tabular-adult,random,uniform,budget_20,0.0,0.0,0.03699480747600191,0.0,0.15097054000000001,14.0,1.0
tabular-adult,random,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,3.8871425299999993,0.2776530378571428
tabular-adult,random,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.15097054000000001,14.0,1.0
tabular-adult,random,inverse_info,cafa_marginal,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,26.409202299999997,0.27718059316612376
tabular-adult,random,inverse_info,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.15097054000000001,95.27796300000001,1.0
